car,mpg,cylinders,displacement,horsepower,weight,acceleration,model,origin
Datsun B210 GX,39.4,4,85.0,70.0,2070.0,18.6,78,Japan
Datsun B210 GX,39.4,4,85.0,70.0,2070.0,18.6,78,Japan
Honda Civic CVCC,36.1,4,91.0,60.0,1800.0,16.4,78,Japan
Toyota Corolla Tercel,38.1,4,89.0,60.0,1968.0,18.8,80,Japan
Datsun 310,37.2,4,86.0,65.0,2019.0,16.4,80,Japan
Datsun 510 Hatchback,37.0,4,119.0,92.0,2434.0,15.0,80,Japan
Mazda GLC,46.6,4,86.0,65.0,2110.0,17.9,80,Japan
Datsun 210,40.8,4,85.0,65.0,2110.0,19.2,80,Japan
Honda Civic 1500 gl,44.6,4,91.0,67.0,1850.0,13.8,80,Japan
Toyota Starlet,39.1,4,79.0,58.0,1755.0,16.9,81,Japan
Honda Civic 1300,35.1,4,81.0,60.0,1760.0,16.1,81,Japan
Datsun 210 MPG,37.0,4,85.0,65.0,1975.0,19.4,81,Japan
Toyota Tercel,37.7,4,89.0,62.0,2050.0,17.3,81,Japan
Mazda GLC Custom l,37.0,4,91.0,68.0,2025.0,18.2,82,Japan
Nissan Stanza XE,36.0,4,120.0,88.0,2160.0,14.5,82,Japan
Honda Accord,36.0,4,107.0,75.0,2205.0,14.5,82,Japan
Honda Civic,38.0,4,91.0,67.0,1965.0,15.0,82,Japan
Datsun 310 GX,38.0,4,91.0,67.0,1995.0,16.2,82,Japan
