car,mpg,cylinders,displacement,horsepower,weight,acceleration,model,origin
Chevrolet Chevelle Malibu,18.0,8,307.0,130.0,3504.0,12.0,70,US
Chevrolet Chevelle Malibu,18.0,8,307.0,130.0,3504.0,12.0,70,US
Buick Skylark 320,15.0,8,350.0,165.0,3693.0,11.5,70,US
Ford Galaxie 500,15.0,8,429.0,198.0,4341.0,10.0,70,US
Chevrolet Impala,14.0,8,454.0,220.0,4354.0,9.0,70,US
Plymouth Fury iii,14.0,8,440.0,215.0,4312.0,8.5,70,US
Pontiac Catalina,14.0,8,455.0,225.0,4425.0,10.0,70,US
AMC Ambassador DPL,15.0,8,390.0,190.0,3850.0,8.5,70,US
Chevrolet Chevelle Concours (sw),0,8,350.0,165.0,4142.0,11.5,70,US
Ford Torino (sw),0,8,351.0,153.0,4034.0,11.0,70,US
Plymouth Satellite (sw),0,8,383.0,175.0,4166.0,10.5,70,US
AMC Rebel SST (sw),0,8,360.0,175.0,3850.0,11.0,70,US
Dodge Challenger SE,15.0,8,383.0,170.0,3563.0,10.0,70,US
Plymouth 'Cuda 340,14.0,8,340.0,160.0,3609.0,8.0,70,US
Chevrolet Monte Carlo,15.0,8,400.0,150.0,3761.0,9.5,70,US
Ford F250,10.0,8,360.0,215.0,4615.0,14.0,70,US
Chevy C20,10.0,8,307.0,200.0,4376.0,15.0,70,US
Dodge D200,11.0,8,318.0,210.0,4382.0,13.5,70,US
Hi 1200D,9.0,8,304.0,193.0,4732.0,18.5,70,US
Chevrolet Impala,14.0,8,350.0,165.0,4209.0,12.0,71,US
Pontiac Catalina Brougham,14.0,8,400.0,175.0,4464.0,11.5,71,US
Ford Galaxie 500,14.0,8,351.0,153.0,4154.0,13.5,71,US
Plymouth Fury iii,14.0,8,318.0,150.0,4096.0,13.0,71,US
Dodge Monaco (sw),12.0,8,383.0,180.0,4955.0,11.5,71,US
Ford Country Squire (sw),13.0,8,400.0,170.0,4746.0,12.0,71,US
Pontiac Safari (sw),13.0,8,400.0,175.0,5140.0,12.0,71,US
Chevrolet Impala,13.0,8,350.0,165.0,4274.0,12.0,72,US
Pontiac Catalina,14.0,8,400.0,175.0,4385.0,12.0,72,US
Plymouth Fury III,15.0,8,318.0,150.0,4135.0,13.5,72,US
Ford Galaxie 500,14.0,8,351.0,153.0,4129.0,13.0,72,US
AMC Ambassador SST,17.0,8,304.0,150.0,3672.0,11.5,72,US
Mercury Marquis,11.0,8,429.0,208.0,4633.0,11.0,72,US
Buick LeSabre Custom,13.0,8,350.0,155.0,4502.0,13.5,72,US
Oldsmobile Delta 88 Royale,12.0,8,350.0,160.0,4456.0,13.5,72,US
Chrysler Newport Royal,13.0,8,400.0,190.0,4422.0,12.5,72,US
AMC Matador (sw),15.0,8,304.0,150.0,3892.0,12.5,72,US
