summons_number,plate_id,registration_state,plate_type,issue_date,violation_code,vehicle_body_type,vehicle_make,violation_description
8536832563,1441,WY,PAS,2017-06-06 00:00:00,21,4DSD,HONDA,21-No Parking (street clean)
8536832563,1441,WY,PAS,2017-06-06 00:00:00,21,4DSD,HONDA,21-No Parking (street clean)
8292013593,601473,NY,PAS,2016-11-09 00:00:00,21,4DSD,HONDA,21-No Parking (street clean)
8327066730,38BR360,AL,PAS,2017-02-23 00:00:00,21,2DSD,HONDA,21-No Parking (street clean)
8432517677,71WC47,MA,PAS,2016-11-14 00:00:00,21,SUBN,HONDA,21-No Parking (street clean)
8511906897,CVG8394,NY,PAS,2017-03-21 00:00:00,21,SUBN,HONDA,21-No Parking (street clean)
8523487694,D03SU,FL,PAS,2017-06-12 00:00:00,21,SUBN,HONDA,21-No Parking (street clean)
7803577878,DRU6182,NY,PAS,2016-07-19 00:00:00,21,SUBN,HONDA,21-No Parking (street clean)
8551867635,EJY9809,NY,PAS,2017-06-15 00:00:00,21,SUBN,HONDA,21-No Parking (street clean)
8177030073,FPN6798,NY,PAS,2016-07-22 00:00:00,21,SUBN,HONDA,21-No Parking (street clean)
7522710777,FTJ4934,NY,PAS,2016-08-02 00:00:00,21,4DSD,HONDA,21-No Parking (street clean)
8511777581,GBP8071,NY,PAS,2017-06-23 00:00:00,21,4DSD,HONDA,21-No Parking (street clean)
8507224441,GHR1050,NY,PAS,2017-06-12 00:00:00,21,SUBN,HONDA,21-No Parking (street clean)
8494361650,GPR1060,NY,PAS,2017-01-19 00:00:00,21,4DSD,HONDA,21-No Parking (street clean)
8532805115,GRH7130,NY,PAS,2017-03-30 00:00:00,21,SUBN,HONDA,21-No Parking (street clean)
8081038309,HGU5174,NY,PAS,2016-07-13 00:00:00,21,4DSD,HONDA,21-No Parking (street clean)
8539658732,HLY9761,NY,PAS,2017-04-20 00:00:00,21,SUBN,HONDA,21-No Parking (street clean)
8254043190,HMF6591,NY,PAS,2016-12-14 00:00:00,21,4DSD,HONDA,21-No Parking (street clean)
8035447610,JRV7796,PA,PAS,2016-08-25 00:00:00,21,4DSD,HONDA,21-No Parking (street clean)
8270065079,L727629,NJ,PAS,2016-08-31 00:00:00,21,SUBN,HONDA,21-No Parking (street clean)
